source,index,id,isim,brand,status,reasons
curated,278,-MbOmwlwMJG7XspuudEV,kapari,,invalid,invalid_kcal_range
curated,283,-MbOj6f4P9NHIKMKNKPO,karabiber ve pulbiber,,suspect,suspect_macro_kcal_mismatch
curated,284,-MbOohI0M46l291BgXL4,karabiber-tuz karışımı,,invalid,invalid_kcal_range
curated,285,-MbOiEaYYncRp4nQWuMR,karalahana,,invalid,invalid_kcal_range
curated,287,-MbOghxjTrIqlQNsDmVh,karbonat,,invalid,invalid_kcal_range
curated,291,-MbOnnzaOzJIiVID6FjB,karışık köfte baharatı,,suspect,suspect_sugar_gt_carb
curated,295,-MbOhyKkrZKx8a4YH5_u,kaya tuzu,,invalid,invalid_kcal_range
curated,296,-MbOjekeeqb79_V6uqML,kaynar su,,invalid,invalid_kcal_range
curated,300,-MbOm-CWFOIUmWTEhafP,kedi dili bisküvi,,suspect,suspect_duplicate_name_brand
curated,303,-MbOhlziSSKtdRife5sw,kelle,,invalid,invalid_kcal_range
curated,312,-MbOokntdGS0KHFYkk8S,kestane mantarı,,suspect,suspect_macro_kcal_mismatch|suspect_sugar_gt_carb
curated,320,-MbOjDHw5SGSWm7YFx2p,kireç kaymağı,,suspect,suspect_sugar_gt_carb
curated,324,-MbOo7A8lktjKoqfRAei,kokoreç,,invalid,invalid_kcal_range
curated,329,-MbOoBo7ilg_W3TOuBXF,kontrfile,,invalid,invalid_kcal_range
curated,330,-MbOm21I2DzmJ28mO0JR,konyak,,suspect,suspect_missing_core_macro
curated,336,-MbOgLTvbNONYEFPXOWJ,kruton,,invalid,invalid_kcal_range
curated,343,-MbOezl2lLeSyzrK1aU8,kuru maya,,invalid,invalid_kcal_range
curated,351,-MbOijqBlszvJtOIDBIz,kurutulmuş dana bağırsağı,,invalid,invalid_kcal_range
curated,358,-MbOnuS5nt7rIdwQeK1V,kuyruk yağı,,invalid,invalid_kcal_range|normalized_clamped_yag100g
curated,379,-MbOnme6dIBWE2LLoASp,köftelik bulgur,,suspect,suspect_macro_kcal_mismatch
curated,380,-MbOnhfqZ1hxuSMc8D_g,köftelik ince bulgur,,suspect,suspect_macro_kcal_mismatch
curated,416,-MbOiRmOIoYyCvEhHzNK,kırmızı şarap,,suspect,suspect_macro_kcal_mismatch
curated,423,-MbOev1pXuwHs1F4ixSA,labne peyniri,,suspect,suspect_sugar_gt_carb
curated,434,-MbOifzg_DIuHAMEj1qC,limon tuzu,,suspect,suspect_sugar_gt_carb
curated,435,-MbOgWkh9Jn5wt8iF_mv,limonun suyu,,suspect,suspect_sugar_gt_carb
curated,438,-MbOirReaCPfD3V7sszN,maden suyu,,invalid,invalid_kcal_range
curated,439,-MbOnPYRJZwB0YBSVj1T,makarnanın haşlama suyu,,suspect,suspect_macro_kcal_mismatch|suspect_sugar_gt_carb
curated,448,-MbOja1dqlUM6Ewu-v1E,maya,,invalid,invalid_kcal_range
curated,462,-MbOenVXpCulVx6E0aa9,muz,,invalid,invalid_kcal_range
curated,463,-MbOnMDzxakJt0ugf1qe,mısır,,invalid,invalid_kcal_range
curated,464,-MbOoWMw-TeT4f6SwGS7,mısır irmiği,,suspect,suspect_macro_kcal_mismatch|suspect_sugar_gt_carb
curated,467,-MbOiHWSbm1QaaRm586y,mısır unu,,invalid,invalid_kcal_range
curated,471,-MbOgTxgwMShDTwSjdv5,nar ekşisi,,suspect,suspect_macro_kcal_mismatch|suspect_sugar_gt_carb
curated,472,-MbOfwzXpJ5Sni6uApRr,nişasta,,invalid,invalid_kcal_range
curated,476,-MbOj8ZH3VYUPUMMAzyp,oda ısısında su,,invalid,invalid_kcal_range
curated,479,-MbOlVYrjz8MdWl_L5dt,orman meyveli sos,,suspect,suspect_sugar_gt_carb
curated,500,-MbOmhdV-LtJGbLtsRch,orta boy uskumru,,invalid,invalid_kcal_range
